age	bmi	sex	race	title	updrs	height	weight	cage_id	cohoused	genotype	hy_stage	latitude	pd_class	age_units	elevation	env_biome	longitude	cage_mates	host_taxid	life_stage	description	env_feature	env_package	medications	sample_type	alt_pd_class	donor_status	env_material	geo_loc_name	mice_in_cage	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	disease_status	fecal_donor_id	host_body_site	pd_class_score	sem_group_beam	anonymized_name	hind_limb_score	host_subject_id	mean_group_beam	scientific_name	disease_duration	host_body_habitat	host_body_product	day_post_transplant	sem_group_pole_time	collection_timestamp	fecal_pellets_15_min	host_scientific_name	mean_group_pole_time	constipation_duration	constipation_severity	constipation_re_diagnosis	sem_adhesive_removal_time	mean_adhesive_removal_time	physical_specimen_location	physical_specimen_remaining	qiita_study_id
10483.recip.387.WT.PD2.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c28	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	412	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	2	not provided	A34	not provided	411	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	11/05/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.459.WT.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0264	c43	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	539	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	4	1.446	D21	2	536	8.047	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.264	03/07/2016 10:00	3	mus musculus	14.38	not provided	not provided	not provided	1.41	4.969	UCSDMI	TRUE	10483
10483.recip.539.ASO.PD4.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.032	c51	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	559	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	1	0.1226	D34	0	558	2.063	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.018	03/07/2016 10:00	8	mus musculus	7.328	not provided	not provided	not provided	0.1715	1.321	UCSDMI	TRUE	10483
10483.BLANK7.7H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.7H	not applicable	BLANK7.7H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.540.ASO.HC4.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c49	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	549	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	not provided	B61	not provided	547	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	01/25/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.616.WT.PD5.D14	7	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c73	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	632	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_9	uberon:feces	4	not provided	F30	not provided	630	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	14	not provided	02/29/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.388.WT.HC2.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c30	false	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_2	uberon:feces	3	not provided	C15	not provided	414	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/19/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK5.4D	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK5.4D	not applicable	BLANK5.4D	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.4G	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.4G	not applicable	BLANK7.4G	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK6.6H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK6.6H	not applicable	BLANK6.6H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.545.WT.HC4.D7	6	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c51	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	558	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_154a	uberon:feces	1	not provided	A73	not provided	559	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	7	not provided	01/18/2016 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.6F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.6F	not applicable	BLANK7.6F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.5H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.5H	not applicable	BLANK7.5H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.560.ASO.HC4.D21	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0338	c18	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	317	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2				TRUE	not provided	dys_200a	uberon:feces	2	0.6384	C59	0	318	6.003	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.4602	11/12/2015 10:00	8	mus musculus	6.171	not provided	not provided	not provided	0.4423	2.315	UCSDMI	TRUE	10483
10483.BLANK7.5C	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.5C	not applicable	BLANK7.5C	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK1.1F	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable	Control	Negative	Sterile water blank	TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1F	not applicable	BLANK1.1F	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK1.1E	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1E	not applicable	BLANK1.1E	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.464.WT.PD3.D7	55	26.8	male	caucasian	sampson_mazmanian_parkinsons_mice		not provided	not provided	not provided	not provided	not provided	not provided	34.1386	not provided	years	767	urban biome	-118.1255	not provided	9606	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	human-associated habitat	human-gut	none	feces	not provided	healthy	feces	USA:CA:Pasadena	not provided	Host-associated	Animal	Animal distal gut	TRUE	healthy	dys_108a	uberon:feces	not provided	not provided	A6	not provided	DYS_108A	not provided	human gut metagenome	not provided	uberon:feces	uberon:feces	not provided	not provided	restricted access	not provided	homo sapiens	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK7.5A	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.5A	not applicable	BLANK7.5A	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.BLANK7.4H	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.4H	not applicable	BLANK7.4H	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.452.ASO.PD3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c23	true	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	389	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	mma_008	uberon:feces	1	not provided	C3	not provided	388	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/19/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.455.WT.PD3.D21	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c40	true	thy1-asyn	not provided	34.1386	pd	weeks	263	urban biome	-118.1255	466	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_11	uberon:feces	4	not provided	C31	not provided	465	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	11/30/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.recip.546.ASO.PD4.D14	8	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	not provided	c14	false	bdf1	not provided	34.1386	healthy	weeks	263	urban biome	-118.1255	single	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, healthy	healthy	feces	USA:CA:Pasadena	1	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_200a	uberon:feces	1	not provided	B67	not provided	312	not provided	mouse gut metagenome	not provided	uberon:feces	uberon:feces	21	not provided	10/08/2015 10:00	not provided	mus musculus	not provided	not provided	not provided	not provided	not provided	not provided	UCSDMI	TRUE	10483
10483.BLANK1.1C	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK1.1C	not applicable	BLANK1.1C	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
10483.recip.461.ASO.HC3.D49	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0322	c44	true	bdf1	not provided	34.1386	intermediate	weeks	263	urban biome	-118.1255	537	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	nonsusceptible, pd	pd	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	pdgi_7	uberon:feces	3	0.4272	D23	0	538	3.536	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	0.5908	03/07/2016 10:00	8	mus musculus	5.265	not provided	not provided	not provided	0.2015	1.718	UCSDMI	TRUE	10483
10483.recip.226.ASO.OB1.D7	12	not provided	male	not provided	sampson_mazmanian_parkinsons_mice		not provided	0.0306	c36	true	thy1-asyn	not provided	34.1386	early stage pd	weeks	263	urban biome	-118.1255	456	10090	adult	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	animal-associated habitat	host-associated	not provided	feces	susceptible, healthy	healthy	feces	USA:CA:Pasadena	2	Host-associated	Animal	Animal distal gut	TRUE	not provided	dys_108a	uberon:feces	2	1.0357	D9	0	458	5.753	mouse gut metagenome	not provided	uberon:feces	uberon:feces	49	1.781	01/04/2016 10:00	5	mus musculus	11.75	not provided	not provided	not provided	0.5442	3.05	UCSDMI	TRUE	10483
10483.BLANK7.7G	not applicable	not applicable	not applicable	not applicable	sampson_mazmanian_parkinsons_mice	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	32.842674	not applicable	not applicable	193	urban biome	-117.257767	not applicable	not applicable	not applicable	Role of Gut Microbiota in Pathophysiology of Parkinsons Disease	research facility	misc environment	not applicable	control blank	not applicable	not applicable	sterile water	USA:CA:San Diego	not applicable				TRUE	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK7.7G	not applicable	BLANK7.7G	not applicable	metagenome	not applicable	not applicable	not applicable	not applicable	not applicable	04/25/2016 12:00	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	UCSDMI	FALSE	10483
